iter	Passed	Remaining
0	48	48816
1	49	24720
2	51	17143
3	53	13302
4	55	11073
5	57	9558
6	59	8419
7	61	7601
8	63	6986
9	64	6417
10	66	5996
11	68	5665
12	70	5373
13	72	5112
14	74	4866
15	76	4680
16	77	4509
17	79	4344
18	81	4210
19	82	4041
20	84	3919
21	85	3806
22	87	3725
23	89	3635
24	91	3560
25	92	3473
26	94	3397
27	95	3326
28	97	3257
29	98	3181
30	99	3111
31	101	3063
32	102	3011
33	104	2962
34	105	2912
35	107	2866
36	108	2821
37	109	2779
38	111	2746
39	112	2699
40	113	2659
41	115	2623
42	116	2584
43	117	2545
44	118	2508
45	119	2467
46	119	2431
47	120	2394
48	122	2370
49	122	2335
50	123	2294
51	124	2263
52	125	2233
53	125	2201
54	126	2171
55	127	2142
56	127	2110
57	128	2083
58	128	2056
59	129	2030
60	130	2005
61	130	1981
62	131	1955
63	132	1932
64	132	1909
65	133	1887
66	133	1862
67	134	1842
68	135	1822
69	135	1802
70	136	1782
71	136	1760
72	137	1740
73	137	1721
74	137	1700
75	138	1681
76	138	1663
77	139	1644
78	139	1627
79	140	1610
80	140	1594
81	140	1577
82	141	1561
83	141	1545
84	141	1528
85	142	1512
86	142	1498
87	143	1483
88	143	1468
89	143	1455
90	144	1441
91	144	1427
92	144	1413
93	145	1400
94	145	1387
95	145	1374
96	146	1360
97	146	1348
98	146	1336
99	147	1324
100	147	1313
101	147	1301
102	148	1290
103	148	1279
104	148	1266
105	148	1256
106	149	1245
107	149	1235
108	149	1225
109	150	1215
110	150	1205
111	150	1196
112	151	1187
113	151	1178
114	151	1169
115	152	1160
116	152	1151
117	152	1143
118	153	1134
119	153	1126
120	153	1118
121	154	1110
122	154	1101
123	154	1094
124	155	1087
125	155	1078
126	155	1071
127	156	1064
128	156	1057
129	156	1050
130	157	1043
131	157	1036
132	157	1029
133	158	1022
134	158	1016
135	158	1009
136	159	1003
137	159	996
138	159	990
139	160	984
140	160	978
141	160	972
142	161	966
143	161	960
144	162	955
145	162	949
146	162	943
147	162	937
148	163	932
149	163	926
150	163	921
151	164	916
152	164	910
153	164	905
154	165	900
155	165	895
156	165	890
157	166	885
158	166	880
159	166	875
160	167	870
161	167	866
162	167	861
163	168	857
164	168	853
165	168	848
166	169	844
167	169	839
168	169	835
169	170	831
170	170	827
171	171	824
172	171	820
173	171	815
174	172	811
175	172	807
176	172	803
177	173	799
178	173	795
179	173	792
180	174	788
181	174	784
182	174	780
183	175	776
184	175	773
185	175	769
186	176	765
187	176	762
188	176	758
189	177	755
190	177	751
191	177	748
192	178	744
193	178	742
194	179	739
195	179	736
196	179	732
197	180	729
198	180	726
199	180	723
200	181	720
201	181	717
202	181	714
203	182	711
204	182	707
205	182	704
206	183	701
207	183	698
208	183	695
209	184	692
210	184	689
211	184	686
212	185	684
213	185	681
214	185	678
215	186	675
216	186	672
217	186	669
218	187	667
219	187	664
220	187	661
221	187	658
222	188	656
223	188	653
224	188	650
225	189	648
226	189	645
227	189	642
228	190	640
229	190	637
230	190	635
231	191	633
232	191	630
233	191	628
234	192	625
235	192	623
236	192	621
237	193	618
238	193	616
239	193	613
240	194	611
241	194	609
242	194	606
243	195	604
244	195	602
245	195	599
246	196	597
247	196	595
248	196	593
249	197	591
250	197	589
251	197	587
252	198	584
253	198	582
254	198	580
255	199	578
256	199	576
257	199	574
258	200	572
259	200	570
260	200	568
261	201	566
262	201	564
263	201	562
264	202	560
265	202	558
266	202	556
267	203	554
268	203	552
269	203	551
270	204	549
271	204	547
272	204	545
273	205	543
274	205	541
275	206	540
276	206	538
277	206	537
278	207	535
279	207	533
280	207	531
281	208	530
282	208	528
283	208	526
284	209	525
285	209	523
286	210	521
287	210	520
288	210	518
289	211	517
290	211	515
291	211	514
292	212	512
293	212	510
294	213	509
295	213	507
296	213	506
297	214	504
298	214	503
299	214	501
300	215	499
301	215	498
302	216	497
303	216	495
304	216	494
305	217	492
306	217	491
307	218	489
308	218	488
309	219	487
310	219	486
311	220	485
312	220	484
313	221	483
314	221	481
315	221	480
316	222	479
317	222	477
318	223	476
319	223	474
320	223	473
321	224	472
322	224	470
323	225	469
324	225	468
325	225	467
326	226	465
327	226	464
328	227	463
329	227	461
330	227	460
331	228	459
332	228	458
333	229	456
334	229	455
335	229	454
336	230	453
337	230	452
338	231	450
339	231	449
340	232	448
341	232	447
342	233	446
343	233	445
344	233	443
345	234	442
346	234	441
347	235	440
348	235	439
349	235	437
350	236	436
351	236	435
352	236	434
353	237	433
354	237	432
355	238	430
356	238	429
357	239	428
358	239	427
359	239	426
360	240	425
361	240	424
362	241	423
363	241	422
364	241	420
365	242	419
366	242	418
367	243	417
368	243	416
369	244	415
370	244	414
371	244	413
372	245	412
373	245	411
374	246	410
375	246	409
376	246	408
377	247	407
378	247	405
379	248	405
380	248	404
381	249	403
382	249	401
383	249	401
384	250	399
385	250	399
386	251	398
387	251	396
388	252	395
389	252	394
390	252	393
391	253	392
392	253	391
393	254	390
394	254	389
395	255	388
396	255	387
397	255	386
398	256	386
399	256	385
400	257	384
401	257	383
402	257	382
403	258	381
404	258	380
405	259	379
406	259	378
407	260	377
408	260	376
409	260	375
410	261	374
411	261	373
412	262	372
413	262	371
414	263	370
415	263	369
416	264	369
417	264	368
418	264	367
419	265	366
420	265	365
421	266	364
422	266	363
423	267	362
424	267	361
425	267	361
426	268	360
427	268	359
428	269	358
429	269	357
430	270	356
431	270	355
432	271	354
433	271	354
434	271	353
435	272	352
436	272	351
437	273	350
438	273	349
439	274	348
440	274	348
441	275	347
442	275	346
443	275	345
444	276	344
445	276	343
446	277	342
447	277	342
448	278	341
449	278	340
450	278	339
451	279	338
452	279	337
453	280	336
454	280	335
455	280	335
456	281	334
457	281	333
458	282	332
459	282	331
460	283	330
461	283	330
462	283	329
463	284	328
464	284	327
465	285	326
466	285	326
467	286	325
468	286	324
469	287	323
470	287	322
471	287	322
472	288	321
473	288	320
474	289	319
475	289	318
476	289	317
477	290	317
478	290	316
479	291	315
480	291	314
481	292	313
482	292	313
483	292	312
484	293	311
485	293	310
486	294	309
487	294	309
488	295	308
489	295	307
490	296	306
491	296	306
492	296	305
493	297	304
494	297	303
495	298	303
496	298	302
497	298	301
498	299	300
499	299	299
500	300	299
501	300	298
502	301	297
503	301	296
504	301	296
505	302	295
506	302	294
507	303	293
508	303	292
509	304	292
510	304	291
511	304	290
512	305	290
513	305	289
514	306	288
515	306	287
516	307	286
517	307	286
518	308	285
519	308	284
520	308	283
521	309	283
522	309	282
523	310	281
524	310	280
525	310	280
526	311	279
527	311	278
528	312	277
529	312	277
530	313	276
531	313	275
532	313	274
533	314	274
534	314	273
535	315	272
536	315	272
537	316	271
538	316	270
539	316	269
540	317	269
541	317	268
542	318	267
543	318	267
544	318	266
545	319	265
546	319	264
547	320	264
548	320	263
549	321	262
550	321	262
551	322	261
552	322	260
553	322	259
554	323	259
555	323	258
556	324	257
557	324	257
558	325	256
559	325	255
560	325	255
561	326	254
562	326	253
563	327	252
564	327	252
565	328	251
566	328	250
567	328	250
568	329	249
569	330	248
570	330	248
571	330	247
572	331	246
573	331	246
574	332	245
575	332	244
576	332	244
577	333	243
578	333	242
579	334	242
580	334	241
581	335	240
582	335	240
583	336	239
584	336	238
585	336	238
586	337	237
587	338	236
588	338	236
589	338	235
590	339	234
591	339	234
592	340	233
593	340	232
594	341	232
595	341	231
596	342	231
597	342	230
598	343	229
599	343	229
600	344	228
601	344	227
602	345	227
603	345	226
604	346	225
605	346	225
606	347	224
607	347	224
608	348	223
609	348	222
610	349	222
611	349	221
612	350	221
613	350	220
614	351	219
615	351	219
616	352	218
617	352	218
618	353	217
619	353	216
620	354	216
621	354	215
622	355	214
623	355	214
624	356	213
625	356	213
626	357	212
627	357	211
628	358	211
629	358	210
630	359	210
631	359	209
632	360	209
633	361	208
634	361	207
635	362	207
636	362	206
637	363	206
638	363	205
639	364	204
640	364	204
641	365	203
642	365	203
643	366	202
644	366	201
645	367	201
646	367	200
647	368	200
648	368	199
649	369	198
650	369	198
651	370	197
652	370	196
653	371	196
654	371	195
655	372	195
656	372	194
657	373	193
658	373	193
659	374	192
660	374	192
661	375	191
662	375	190
663	375	190
664	376	189
665	376	189
666	377	188
667	377	187
668	378	187
669	378	186
670	379	185
671	379	185
672	380	184
673	380	184
674	381	183
675	381	182
676	382	182
677	382	181
678	383	181
679	383	180
680	384	179
681	384	179
682	384	178
683	385	178
684	385	177
685	386	176
686	386	176
687	387	175
688	387	175
689	388	174
690	388	173
691	389	173
692	389	172
